Level,Hierarchical structure,Code,Class title,Class definition
4,Unit group,6315,Cleaning supervisors,"Cleaning supervisors supervise and co-ordinate the activities of workers in the following unit groups: Light Duty Cleaners (6731), Specialized Cleaners (6732), and Janitors, Caretakers and Building Superintendents (6733). They are employed by hospitals and other health care institutions, hotels, motels, schools and other educational institutions, commercial and industrial establishments, home and office cleaning establishments and by various specialized cleaning companies."
4,Unit group,6316,Other services supervisors,"Other services supervisors supervise and co-ordinate the activities of dry cleaning, laundry, ironing, pressing and finishing workers, theatre ushers and attendants, sports and recreation club workers, commissionaires, security guards and other service workers. They are employed by service establishments throughout the public and private sectors."
3,Minor group,632,Chefs and cooks,"This minor group includes chefs and cooks. They are employed by restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs, educational institutions and other establishments; on ships; and at construction and logging campsites."
4,Unit group,6321,Chefs,"Chefs plan and direct food preparation and cooking activities and who prepare and cook meals and specialty foods. They are employed in restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs and similar establishments, and on ships."
4,Unit group,6322,Cooks,"Cooks prepare and cook a wide variety of foods. They are employed in restaurants, hotels, hospitals and other health care institutions, central food commissaries, educational institutions and other establishments. Cooks are also employed aboard ships and at construction and logging campsites."
3,Minor group,633,Butchers and bakers,"This minor group includes bakers and retail and wholesale butchers, meat cutters and fishmongers. They are employed by supermarkets, grocery stores, butcher shops, fish stores, bakeries, catering companies, hotels, restaurants, hospitals and other institutions; or they may be self-employed."
4,Unit group,6331,"Butchers, meat cutters and fishmongers - retail and wholesale","Butchers, meat cutters and fishmongers in retail and wholesale prepare standard cuts of meat, poultry, fish and shellfish for sale in retail or wholesale food establishments. They are employed in supermarkets, grocery stores, butcher shops and fish stores or may be self-employed. Butchers who are supervisors or heads of departments are included in this unit group."
4,Unit group,6332,Bakers,"Bakers prepare bread, rolls, muffins, pies, pastries, cakes and cookies in retail and wholesale bakeries and dining establishments. They are employed in bakeries, supermarkets, catering companies, hotels, restaurants, hospitals, and other institutions, or they may be self-employed. Bakers who are supervisors are included in this unit group."
3,Minor group,634,Specialized occupations in personal and customer services,"This minor group includes hairstylists, barbers, tailors, dressmakers, furriers, milliners, shoe repairers, shoemakers, jewellers, jewellery and watch repairers, upholsterers, funeral directors, embalmers and other specialized occupations in personal and customer services. They are employed by hair salons, barber shops, vocational schools and health care establishments; theatre, film and television establishments; dry cleaners, custom shoemaking and clothing alteration establishments; shoe, jewellery, clock and watch and furniture repair shops; garment, jewellery, clock and watch, furniture, aircraft, motor vehicle and other manufacturing companies; retail stores and outlets; and funeral homes; or they may be self-employed."
4,Unit group,6341,Hairstylists and barbers,"Hairstylists and barbers cut and style hair and perform related services. They are employed in hairstyling or hairdressing salons, barber shops, vocational schools, health care establishments and theatre, film and television establishments."
4,Unit group,6342,"Tailors, dressmakers, furriers and milliners","Tailors, dressmakers and furriers make, alter and repair tailored clothing, dresses, coats and other made-to-measure garments. Milliners make, alter and repair hats. This unit group also includes alterationists who fit, alter and repair garments. They are employed by clothing retailers, clothing alteration shops, dry cleaners and garment manufacturing companies or they may be self-employed."
4,Unit group,6343,Shoe repairers and shoemakers,"Shoe repairers repair footwear and shoemakers make specialized and custom shoes and boots. They are employed in shoe repair shops or custom shoemaking establishments, or they may be self-employed."
4,Unit group,6344,"Jewellers, jewellery and watch repairers and related occupations","Jewellers and workers in related occupations fabricate, assemble, repair and appraise fine jewellery. Watch repairers and workers in related occupations repair, clean, adjust and fabricate parts for clocks and watches. They are employed by jewellery, clock and watch manufacturers and retail stores, by jewellery and watch repair shops or they may be self-employed."
4,Unit group,6345,Upholsterers,"Upholsterers cover furniture, fixtures and similar items with fabric, leather or other upholstery materials. They are employed by furniture, aircraft, motor vehicle and other manufacturing companies, furniture retail outlets and repair shops or they may be self-employed."
4,Unit group,6346,Funeral directors and embalmers,Funeral directors co-ordinate and arrange all aspects of funeral services. Embalmers prepare the remains of deceased persons for public visitation and burial. Funeral directors and embalmers are employed by funeral homes.
2,Major group,64,Sales representatives and salespersons - wholesale and retail trade,"This major group comprises sales occupations requiring secondary school, or more, and experience related to the product or service, or some combination of education, specific courses, product knowledge and demonstrated sales ability. It includes sales and account representatives in wholesale trade (non-technical) and retail salespersons."
3,Minor group,641,Sales and account representatives - wholesale trade (non-technical),"This minor group includes non-technical sales and account representatives in wholesale trade, and auctioneers. They are employed by petroleum companies, food, beverage and tobacco producers, clothing manufacturers, motor vehicles and parts manufacturers, hotels, business services firms, and transportation companies, and other establishments that produce and provide goods and services."
4,Unit group,6411,Sales and account representatives - wholesale trade (non-technical),"Sales representatives in wholesale trade (non-technical), sell non-technical goods and services to retail, wholesale, commercial, industrial, professional and other clients domestically and internationally. They are employed by establishments that produce or provide goods and services such as petroleum companies, food, beverage and tobacco producers, clothing manufacturers, motor vehicles and parts manufacturers, hotels, business services firms, and transportation companies. Auctioneers are included in this unit group. Sales representatives in wholesale trade who are supervisors are also included in this unit group."
3,Minor group,642,Retail salespersons,"This minor group includes retail salespersons. They are employed by stores and other retail businesses, as well as wholesale businesses that sell on a retail basis to the public."
4,Unit group,6421,Retail salespersons,"Retail salespersons sell, rent or lease a range of technical and non-technical goods and services directly to consumers. They are employed by stores and other retail businesses, as well as wholesale businesses that sell on a retail basis to the public."
2,Major group,65,Service representatives and other customer and personal services occupations,"This major group comprises service occupations usually requiring secondary school and some combination of specific training courses or programs of up to two years in duration, on-the-job training, related knowledge or experience and, in some cases, relevant licences or certifications. It includes security guards and occupations in related security services, food and beverage service, travel and accommodation, tourism and amusement services, customer and information services and other personal services."
3,Minor group,651,Occupations in food and beverage service,"This minor group includes maîtres d'hôtel, hosts/hostesses, bartenders, and food and beverage servers. They are employed by restaurants, hotel dining rooms, private clubs, cocktail lounges, bars, taverns, banquet halls and similar establishments."
4,Unit group,6511,Maîtres d'hôtel and hosts/hostesses,"Maîtres d'hôtel and hosts/hostesses greet patrons and escort them to tables, and supervise and co-ordinate the activities of food and beverage servers. They are employed in restaurants, hotel dining rooms, private clubs, cocktail lounges and similar establishments."
4,Unit group,6512,Bartenders,"Bartenders mix and serve alcoholic and non-alcoholic beverages. They are employed in restaurants, hotels, bars, taverns, private clubs, banquet halls and other licensed establishments. Supervisors of bartenders are included in this unit group."
4,Unit group,6513,Food and beverage servers,"Food and beverage servers take patrons' food and beverage orders and serve orders to patrons. They are employed in restaurants, hotels, bars, taverns, private clubs, banquet halls and similar establishments."
3,Minor group,652,Occupations in travel and accommodation,"This minor group includes travel counsellors, pursers, flight attendants, airline ticket and service agents, airline load planners, ground and water transport ticket agents, cargo service representatives, and hotel front desk clerks. They are employed by travel agencies, transportation and tourism firms, travel wholesalers, bus, railway, airline, tour boat and cruise ship companies, public transit establishments, hotels, motels, resorts and freight forwarding and shipping companies."
4,Unit group,6521,Travel counsellors,"Travel counsellors advise clients on travel options and tour packages, make bookings and reservations, prepare tickets and receive payment. They are employed in travel agencies, transportation and tourism firms and hotel chains."
4,Unit group,6522,Pursers and flight attendants,Pursers and flight attendants ensure the safety and comfort of passengers and crew members during flights. Ship pursers attend to the safety and comfort of passengers aboard ships. Airline pursers and flight attendants are employed by airline companies. Ship pursers are employed by tour boat or cruise ship companies.
4,Unit group,6523,Airline ticket and service agents,"Airline ticket and service agents issue tickets, provide fare quotations, make reservations, conduct passenger check-in, trace missing baggage, arrange for cargo shipments and perform other related customer service duties to assist airline passengers. They are employed by airline companies."
4,Unit group,6524,"Ground and water transport ticket agents, cargo service representatives and related clerks","Ground and water transport ticket agents, cargo service representatives and related clerks, quote fares and rates, make reservations, issue tickets, process cargo shipments, check baggage and perform other related customer service duties to assist travellers. They are employed by bus and railway companies, freight forwarding and shipping companies, boat cruise operators and other public transit establishments and by travel wholesalers."
4,Unit group,6525,Hotel front desk clerks,"Hotel front desk clerks make room reservations, provide information and services to guests and receive payment for services. They are employed by hotels, motels and resorts."
3,Minor group,653,Tourism and amusement services occupations,"This minor group includes tour and travel guides, outdoor sport and recreational guides and workers in casino occupations. They are employed by tour operators, resorts and other establishments, casinos and private companies; or they may be self-employed."
4,Unit group,6531,Tour and travel guides,"Tour and travel guides escort individuals and groups on trips, on sightseeing tours of cities and on tours of historical sites and establishments such as famous buildings, manufacturing plants, cathedrals and theme parks. They also provide descriptions and background information on interesting features. They are employed by tour operators, resorts and other establishments or may be self-employed."
4,Unit group,6532,Outdoor sport and recreational guides,"Outdoor sport and recreational guides organize and conduct trips or expeditions for sports enthusiasts, adventurers, tourists and resort guests. They are employed by private companies and resorts or may be self-employed."
4,Unit group,6533,Casino occupations,"Casino workers operate gaming tables, assist patrons using slot machines, accept keno wagers, pay out winning bets and jackpots and collect losing bets. They are employed by casinos."
3,Minor group,654,Security guards and related security service occupations,"This minor group includes security guards, armoured car guards, corporate security officers, private investigators, retail loss prevention officers and workers in other related security service occupations. They are employed by public and private security agencies; residential complexes; educational, cultural, financial and health institutions; retail establishments, businesses and industry; investigation service companies; transportation facilities; and organizations throughout the private and public sectors; or they may be self-employed."
4,Unit group,6541,Security guards and related security service occupations,"Security guards and workers in related security service occupations guard and implement security measures to protect property against theft, vandalism and fire, control access to establishments, maintain order and enforce regulations at public events and within establishments, conduct private investigations for clients or employers and provide other protective services not elsewhere classified. They are employed by public or private security agencies, residential complexes, educational, cultural, financial and health institutions, retail establishments, businesses and industry, investigation service companies, transportation facilities, and organizations throughout the private and public sectors, or they may be self-employed."
3,Minor group,655,Customer and information services representatives,"This minor group includes customer services representatives in financial institutions and other customer and information services representatives. They are employed by banks, trust companies, credit unions and similar financial institutions; retail establishments, contact centres, insurance, telephone and utility companies and other establishments throughout the private and public sectors."
4,Unit group,6551,Customer services representatives - financial institutions,"Customer services representatives in financial institutions process customers' financial transactions and provide information on related banking products and services. They are employed by banks, trust companies, credit unions and similar financial institutions."
4,Unit group,6552,Other customer and information services representatives,"Other customer and information services representatives answer enquiries and provide information regarding an establishment's goods, services and policies and provide customer services such as receiving payments and processing requests for services. They are employed by retail establishments, contact centres, insurance, telecommunications and utility companies and other establishments throughout the private and public sectors."
3,Minor group,656,Other occupations in personal service,"This minor group includes image, social and other personal consultants; estheticians, electrologists and workers in related occupations; pet groomers and animal care workers; and workers in other personal service occupations. They are employed by beauty salons, fashion boutiques, modelling schools, image consulting companies and weight loss centres; electrolysis studios, scalp treatment and hair replacement clinics and other similar establishments and cosmetic departments of retail establishments; animal hospitals and clinics, animal shelters, breeding and boarding kennels, zoos, laboratories, retail pet shops, dog training schools and pet grooming establishments; and call centres and personal service establishments; or they may be self-employed."
4,Unit group,6561,"Image, social and other personal consultants","Image, social and other personal consultants advise clients on their personal appearance, speaking style, manners or other behaviours in order to improve personal or business images. They are employed by beauty salons, fashion boutiques, modelling schools, image consulting companies, weight loss centres or they may be self-employed."
4,Unit group,6562,"Estheticians, electrologists and related occupations","Estheticians, electrologists and workers in related occupations provide facial and body treatments designed to enhance an individual's physical appearance. They are employed in beauty salons, electrolysis studios, scalp treatment and hair replacement clinics and other similar establishments and in cosmetic departments of retail establishments such as pharmacies and department stores, or they may be self-employed."
4,Unit group,6563,Pet groomers and animal care workers,"Animal care workers feed, handle, train and groom animals and assist veterinarians, animal health technologists and technicians and animal breeders. Pet groomers clip coats, bathe and otherwise groom pets. They are employed by animal hospitals and clinics, animal shelters, breeding and boarding kennels, zoos, laboratories, retail pet shops, dog training schools, pet grooming establishments, or may be self-employed."
4,Unit group,6564,Other personal service occupations,"Workers in other personal service occupations provide psychic consulting, fortune telling, astrological services and other personal services. They are employed by call centres and personal service establishments, or are self-employed."
2,Major group,66,Sales support occupations,"This major group comprises sales occupations that usually require some secondary education. It includes cashiers, service station attendants, store shelf stockers, store clerks and order fillers, and other sales related occupations."
3,Minor group,661,Cashiers,"This minor group includes cashiers. They are employed in stores, restaurants, theatres, recreational and sports establishments, currency exchange booths, government offices, business offices and other service, retail and wholesale establishments."
4,Unit group,6611,Cashiers,"Cashiers operate cash registers, optical price scanners, computers or other equipment to record and accept payment for the purchase of goods, services and admissions. They are employed in stores, restaurants, theatres, recreational and sports establishments, currency exchange booths, government offices, business offices and other service, retail and wholesale establishments."
3,Minor group,662,Other sales support and related occupations,"This minor group includes service station attendants; store shelf stockers, clerks and order fillers; and workers who sell goods and services during home demonstrations and by telephone soliciting, retail exhibitions and street vending. They are employed by automotive service stations, marinas, retail and wholesale establishments, manufacturers, telemarketing companies and call centres and warehouses; or they may be self-employed."
4,Unit group,6621,Service station attendants,"Service station attendants employed in automotive service stations sell fuel and other automotive products and perform such services as fuelling, cleaning, lubricating and performing minor repairs to motor vehicles. Those employed in marinas sell fuel, rent boats and related equipment, and maintain marina facilities."
4,Unit group,6622,"Store shelf stockers, clerks and order fillers","Store shelf stockers, clerks and order fillers pack customers' purchases, price items, stock shelves with merchandise, and fill mail and telephone orders. They are employed in retail establishments, such as grocery, hardware and department stores, and in warehouses."
4,Unit group,6623,Other sales related occupations,"Workers in other sales related occupations sell goods or services during home demonstrations or by telephone soliciting, retail exhibitions or street vending. They are employed by a wide range of retail and wholesale establishments, manufacturers, telemarketing companies and call centres, or they may be self-employed."
2,Major group,67,"Service support and other service occupations, n.e.c.","This major group comprises service occupations that either require some secondary education, or have no specific educational requirements, and for which on-the-job training may be provided. It includes food counter attendants, kitchen helpers and related support occupations; support occupations in accommodation, travel and amusement services; cleaners; and other service support and related occupations not elsewhere classified."
3,Minor group,671,"Food counter attendants, kitchen helpers and related support occupations","This minor group includes food counter attendants, food preparers, kitchen helpers, food service helpers and dishwashers. They are employed by restaurants, cafes, hotels, fast food outlets, cafeterias, hospitals and other establishments."
4,Unit group,6711,"Food counter attendants, kitchen helpers and related support occupations","Food counter attendants and food preparers prepare, heat and finish cooking simple food items and serve customers at food counters. Kitchen helpers, food service helpers and dishwashers clear tables, clean kitchen areas, wash dishes, and perform various other activities to assist workers who prepare or serve food and beverages. They are employed by restaurants, cafés, hotels, fast food outlets, cafeterias, hospitals and other establishments."
3,Minor group,672,"Support occupations in accommodation, travel and amusement services","This minor group includes workers in support occupations in accommodation, travel and facilities set-up services and operators and attendants in amusement, recreation and sport. Workers in support occupations in accommodation, travel and facilities set-up are employed by hotels, conference centres, retail establishments, passenger transport companies and throughout the private and public sectors. Operators and attendants in amusement, recreation and sport are employed by amusement parks, fairs, exhibitions, carnivals, arenas, billiard parlours, bowling alleys, golf courses, ski centres, tennis clubs, campgrounds and other recreational and sports facilities."
4,Unit group,6721,"Support occupations in accommodation, travel and facilities set-up services","Workers in support occupations in accommodation, travel and facilities set-up services escort guests to their rooms, carry travellers' luggage at airports, in railway stations and aboard ships, clean and maintain public areas and passengers' rooms aboard ships and trains, and set up rooms and associated furnishings, commercial displays, exhibits, equipment and booths in facilities and establishments. They are employed by hotels, conference centres, retail establishments, passenger transport companies and throughout the private and public sectors."
4,Unit group,6722,"Operators and attendants in amusement, recreation and sport","Operators and attendants in amusement, recreation and sport assist patrons, collect tickets and fees and supervise the use of recreational and sports equipment. They are employed by amusement parks, fairs, exhibitions, carnivals, arenas, billiard parlours, bowling alleys, golf courses, ski centres, tennis clubs, campgrounds and other recreational and sports facilities."
3,Minor group,673,Cleaners,"This minor group includes light duty cleaners, specialized cleaners, janitors, caretakers and building superintendents. They are employed by hotels, motels and resorts; shopping and recreational facilities; hospitals, health care facilities and educational and other institutions; building management companies, cleaning service companies, condominium corporations and private individuals; and industrial, religious and other establishments; or they may be self-employed."
4,Unit group,6731,Light duty cleaners,"Light duty cleaners clean lobbies, hallways, offices and rooms of hotels, motels, resorts, hospitals, schools, office buildings and private residences. They are employed by hotels, motels, resorts, recreational facilities, hospitals and other institutions, building management companies, cleaning service companies and private individuals."
4,Unit group,6732,Specialized cleaners,"Specialized cleaners clean and refurbish building exteriors, carpets, chimneys, industrial equipment, ventilation systems, windows and other surfaces, using specialized equipment and techniques. They are employed by specialized cleaning service companies or they may be self-employed."
4,Unit group,6733,"Janitors, caretakers and building superintendents","Janitors, caretakers and building superintendents clean and maintain the interior and exterior of commercial, institutional and residential buildings and their surrounding grounds. Building superintendents employed in large establishments are responsible for the operation of the establishment and may also supervise other workers. They are employed by office and apartment building management companies, condominium corporations, educational institutions, health care facilities, recreational and shopping facilities, religious, industrial and other establishments."
3,Minor group,674,"Other service support and related occupations, n.e.c.","This minor group includes workers in dry cleaning, laundry and related occupations; and in other service support occupations not elsewhere classified. They are employed in dry cleaning, laundry and fur cleaning establishments, in the laundries of hotels, hospitals and other institutions; and by a wide range of establishments; or they may be self-employed."
4,Unit group,6741,"Dry cleaning, laundry and related occupations","Dry cleaning and laundry machine operators and workers in related occupations operate machines to dry-clean or launder garments and other articles. Dry cleaning and laundry inspectors and assemblers check finished garments and other articles to ensure that they meet required standards for dry-cleaning, laundering and pressing, and assemble and bag finished garments and other articles. This unit group also includes workers who iron, press or otherwise finish garments and household articles. They are employed in dry cleaning, laundry and fur cleaning establishments, and in the laundries of hotels, hospitals and other institutions."
4,Unit group,6742,"Other service support occupations, n.e.c.",Workers in other service support occupations perform a range of services not elsewhere identified. They are employed in a wide variety of establishments: places of employment are usually indicated in the job title.
1,Broad occupational category,7,"Trades, transport and equipment operators and related occupations","These occupations include trades supervisors and contractors, construction and mechanical tradespersons, operators of transportation and heavy equipment and trades helpers. These occupations are found in a wide range of industrial sectors, with many in the construction and transportation industries.  This category includes most of the apprenticeable trades, including all those related to the construction industry. Other occupations in this category usually require completion of college or vocational education programs combined with on-the-job training. Helpers obtain training on the job site. Progression to supervisory positions or self-employed contractor status is possible with experience. There is limited mobility or transferability of skills among occupations in this category due to specific apprenticeship, training and licensing requirements for most occupations."
2,Major group,72,"Industrial, electrical and construction trades","This major group comprises occupations in industrial, electrical and construction trades, which usually require three or more years of apprenticeship, or several years of work experience in the trade combined with related high school, college or industry courses. It includes occupations in machining, metal forming, shaping and erecting trades; electrical trades and electrical power line and telecommunications workers; plumbers, pipefitters and gas fitters; carpenters and cabinetmakers; masonry and plastering trades; and other construction trades, as well as related supervisors and contractors."
3,Minor group,720,"Contractors and supervisors, industrial, electrical and construction trades and related workers","This minor group includes industrial, electrical and construction trade contractors who own and operate their own businesses; and supervisors who supervise and co-ordinate the activities of workers in industrial, electrical and construction trades. They are employed by construction companies; electrical, mechanical, carpentry, bricklaying, masonry, cement and concrete, plastering, drywalling and lathing, roofing, insulation, painting, floor covering, construction glass installation, and plumbing and pipefitting trade contractors; maintenance departments of industrial, commercial and manufacturing establishments; machine shops; structural, platework and related metal products fabrication, manufacturing and erecting companies; electric power generation, transmission and distribution companies and public utility commissions; telephone, cable and satellite television and other telecommunications transmission companies; gas distribution companies; manufacturers of custom furniture and fixtures and of precast concrete products; service and repair shops; glass fabrication shops; and pest control companies; or they may be self-employed."
4,Unit group,7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Contractors and supervisors, machining, metal forming, shaping and erecting trades and related trades supervise and co-ordinate the activities of workers classified in the following unit groups: Machinists and Machining and Tooling Inspectors (7231), Tool and Die Makers (7232), Sheet Metal Workers (7233), Boilermakers (7234), Structural Metal and Platework Fabricators and Fitters (7235), Ironworkers (7236), Welders and Related Machine Operators (7237) and Machining Tool Operators (9417). They are employed by structural, platework and related metal products fabrication, manufacturing and erecting companies and machine shops or they may operate their own business."
4,Unit group,7202,"Contractors and supervisors, electrical trades and telecommunications occupations","Contractors and supervisors, electrical trades and workers in related telecommunications occupations supervise and co-ordinate the activities of workers classified in the following unit groups: Electricians (7241), Industrial Electricians (7242), Power System Electricians (7243), Electrical Power Line and Cable Workers (7244), Telecommunications Line and Cable Workers (7245), Telecommunications Installation and Repair Workers (7246) and Cable Television Service and Maintenance Technicians (7247). They are employed in a wide range of establishments; places of employment are indicated in the above unit group descriptions or they may operate their own business."
4,Unit group,7203,"Contractors and supervisors, pipefitting trades","Contractors and supervisors, pipefitting trades supervise and co-ordinate the activities of workers classified in the following unit groups: Plumbers (7251), Steamfitters, Pipefitters and Sprinkler System Installers (7252) and Gas Fitters (7253). They are employed by construction companies, mechanical, plumbing and pipefitting trade contractors and maintenance departments of industrial, commercial and manufacturing establishments or they may operate their own business."
4,Unit group,7204,"Contractors and supervisors, carpentry trades","Contractors and supervisors, carpentry trades supervise and co-ordinate the activities of workers classified in the following unit groups: Carpenters (7271) and Cabinetmakers (7272). They are employed by construction companies, carpentry contractors, maintenance departments of industrial establishments, and custom furniture and fixture manufacturing or repair companies or they may operate their own business."
4,Unit group,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Contractors and supervisors of other construction trades, installers, repairers and servicers supervise and co-ordinate the activities of various tradespersons, installers, repairers and servicers classified in the following minor groups: Masonry and Plastering Trades (728), Other Construction Trades (729) and Other Installers, Repairers and Servicers (744). This unit group also includes prefabricated product installation and service contractors. They are employed by a wide range of establishments; places of employment are usually indicated in the unit group descriptions or they may operate their own business."
3,Minor group,723,"Machining, metal forming, shaping and erecting trades","This minor group includes machinists, machining and tooling inspectors, tool and die makers, sheet metal workers, boilermakers, structural metal and platework fabricators and fitters, iron workers, welders and related machine operators. They are employed by machinery, equipment, vehicle, aircraft, shipbuilding and other metal products manufacturers; construction and electric power generation companies; tool and die, mould making, welding and machine shops; structural steel, boiler, sheet metal and platework fabrication plants; and by construction ironwork, sheet metal work and welding contractors; or they may be self-employed."
4,Unit group,7231,Machinists and machining and tooling inspectors,"Machinists set up and operate a variety of machine tools to cut or grind metal, plastic or other materials to make or modify parts or products with precise dimensions. Machining and tooling inspectors inspect machined parts and tooling in order to maintain quality control standards. They are employed by machinery, equipment, motor vehicle, automotive parts, aircraft and other metal products manufacturing companies and by machine shops."
4,Unit group,7232,Tool and die makers,"Tool and die makers make, repair and modify custom-made, prototype or special tools, dies, jigs, fixtures and gauges using various metals, alloys and plastics which require precise dimensions. They are employed primarily in manufacturing industries such as automobile, aircraft, metal fabrication, electrical machinery and plastics, and in tool and die, mould making and machine shops. This unit group also includes metal patternmakers and metal mould makers."
4,Unit group,7233,Sheet metal workers,"Sheet metal workers fabricate, assemble, install and repair sheet metal products. They are employed by sheet metal fabrication shops, sheet metal products manufacturing companies, sheet metal work contractors and various industrial sectors."
4,Unit group,7234,Boilermakers,"Boilermakers fabricate, assemble, erect, test, maintain and repair boilers, vessels, tanks, towers, heat exchangers and other heavy-metal structures. They are employed in boiler fabrication, manufacturing, shipbuilding, construction, electric power generation and similar industrial establishments."
4,Unit group,7235,Structural metal and platework fabricators and fitters,"Structural metal and platework fabricators and fitters fabricate, assemble, fit and install steel or other metal components for buildings, bridges, tanks, towers, boilers, pressure vessels and other similar structures and products. They are employed in structural steel, boiler and platework fabrication plants and by heavy machinery manufacturing and shipbuilding companies."
4,Unit group,7236,Ironworkers,"Ironworkers fabricate, erect, hoist, install, repair and service structural ironwork, precast concrete, concrete reinforcing materials, curtain walls, ornamental iron and other metals used in the construction of buildings, bridges, highways, dams and other structures and equipment. They are employed by construction ironwork contractors."
4,Unit group,7237,Welders and related machine operators,"Welders operate welding equipment to weld ferrous and non-ferrous metals. This unit group also includes machine operators who operate previously set up production welding, brazing and soldering equipment. They are employed by companies that manufacture structural steel and platework, boilers, heavy machinery, aircraft and ships and other metal products, and by welding contractors and welding shops, or they may be self-employed."
3,Minor group,724,Electrical trades and electrical power line and telecommunications workers,"This minor group includes electricians, including industrial and power system electricians; electrical power line and cable workers; telecommunications line and cable workers; telecommunications installation and repair workers; and cable television service and maintenance technicians. They are employed by electrical contractors; maintenance departments of buildings, factories, plants, mines, shipyards and other industrial establishments; electric power generation, transmission and distribution companies and public utility commissions; cable and satellite television companies; and by telephone and other telecommunications services establishments; or they may be self-employed."
4,Unit group,7241,Electricians (except industrial and power system),"Electricians (except industrial and power system) lay out, assemble, install, test, troubleshoot and repair electrical wiring, fixtures, control devices and related equipment in buildings and other structures. They are employed by electrical contractors and maintenance departments of buildings and other establishments, or they may be self-employed."
4,Unit group,7242,Industrial electricians,"Industrial electricians install, maintain, test, troubleshoot and repair industrial electrical equipment and associated electrical and electronic controls. They are employed by electrical contractors and maintenance departments of factories, plants, mines, shipyards and other industrial establishments."
4,Unit group,7243,Power system electricians,"Power system electricians install, maintain, test and repair electrical power generation, transmission and distribution system equipment and apparatus. They are employed by electric power generation, transmission and distribution companies."
4,Unit group,7244,Electrical power line and cable workers,"Electrical power line and cable workers construct, maintain and repair overhead and underground electrical power transmission and distribution systems. They are employed by electric power generation, transmission and distribution companies, electrical contractors and public utility commissions."
4,Unit group,7245,Telecommunications line and cable workers,"Telecommunications line and cable workers install, repair and maintain telecommunication lines and cables. They are employed by cable television companies and by telephone and other telecommunications services."
4,Unit group,7246,Telecommunications installation and repair workers,"Telecommunications installation and repair workers install, test, maintain and repair telephones, telephone switching equipment and telecommunications equipment related to transmission and processing of voice, video signals and other data over a variety of media including fibre optics, microwave, radio and satellite. They are employed by telephone and other telecommunications transmission services establishments."
4,Unit group,7247,Cable television service and maintenance technicians,"Cable television service technicians install, maintain and repair cable and satellite television and Internet signal and associated equipment in homes and commercial buildings. Cable television maintenance technicians maintain and repair cable television transmission and distribution systems and associated hardware. They are employed by cable and satellite television companies."
3,Minor group,725,"Plumbers, pipefitters and gas fitters","This minor group includes plumbers, steamfitters, pipefitters, sprinkler system installers and gas fitters. They are employed by plumbing contractors; maintenance departments of factories, plants and similar establishments; pipefitting and sprinkler system contractors; and gas utility and gas servicing companies; or they may be self-employed."
4,Unit group,7251,Plumbers,"Plumbers install, repair and maintain pipes, fixtures and other plumbing equipment used for water distribution and waste water disposal in residential, commercial and industrial buildings. They are employed in maintenance departments of factories, plants and similar establishments, by plumbing contractors, or they may be self-employed."
4,Unit group,7252,"Steamfitters, pipefitters and sprinkler system installers","Steamfitters and pipefitters lay out, assemble, fabricate, maintain, troubleshoot and repair piping systems carrying water, steam, chemicals and fuel in heating, cooling, lubricating and other process piping systems. Sprinkler system installers fabricate, install, test, maintain and repair water, foam, carbon dioxide and dry chemical sprinkler systems in buildings for fire protection purposes. Steamfitters, pipefitters and sprinkler system installers are employed in maintenance departments of factories, plants and similar establishments, and by pipefitting and sprinkler system contractors, or they may be self-employed."
4,Unit group,7253,Gas fitters,"Gas fitters install, inspect, repair and maintain gas lines and gas equipment such as meters, regulators and heating units in residential, commercial and industrial establishments. They are employed by gas utility companies and gas servicing companies."
3,Minor group,727,Carpenters and cabinetmakers,"This minor group includes carpenters and cabinetmakers. They are employed by construction companies; carpentry and cabinetmaking contractors; maintenance departments of factories, plants and other establishments; and furniture manufacturing and repair companies; or they may be self-employed."
4,Unit group,7271,Carpenters,"Carpenters construct, erect, install, maintain and repair structures and components of structures made of wood, wood substitutes, lightweight steel and other materials. They are employed by construction companies, carpentry contractors, and maintenance departments of factories, plants and other establishments, or they may be self-employed."
4,Unit group,7272,Cabinetmakers,"Cabinetmakers use a variety of woods and laminates to construct and repair wooden cabinets, furniture, fixtures and related products. They are employed by furniture manufacturing or repair companies, construction companies and cabinetmaking contractors, or they may be self-employed."
3,Minor group,728,Masonry and plastering trades,"This minor group includes bricklayers, concrete finishers, tilesetters, plasterers, drywall installers and finishers and lathers. They are employed by construction companies; bricklaying, cement, concrete, masonry, plastering, drywalling and lathing contractors; and manufacturers of precast concrete products; or they may be self-employed."
4,Unit group,7281,Bricklayers,"Bricklayers lay bricks, concrete blocks, stone and other similar materials to construct or repair walls, arches, chimneys, fireplaces and other structures in accordance with blueprints and specifications. They are employed by construction companies and bricklaying contractors or they may be self-employed."
4,Unit group,7282,Concrete finishers,"Concrete finishers smooth and finish freshly poured concrete, apply curing or surface treatments and install, maintain and restore various masonry structures such as foundations, floors, ceilings, sidewalks, roads, patios and highrise buildings. They are employed by construction companies, cement and concrete contractors and manufacturers of precast concrete products, or they may be self-employed."
